Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,Weighted_Score
mband_mel_N4_F8_O75_FL0p8,Stationary,mel,4,8,75,2.8241045475006104,0.859091579914093,15.488109588623049,4.10027225007433,0.7619562447071075
mband_linear_N4_F8_O75_FL0p8,Stationary,linear,4,8,75,2.823927402496338,0.8590706586837769,15.488679885864258,4.098131762504585,0.7619280695915223
mband_log_N4_F20_O75_FL0p3,Stationary,log,4,20,75,2.771665334701538,0.869002640247345,15.170318603515623,4.056652501772902,0.7616678535938263
mband_mel_N4_F20_O75_FL0p7,Stationary,mel,4,20,75,2.77142333984375,0.8687015175819397,15.59585952758789,3.929598806688293,0.7614930927753448
mband_linear_N4_F20_O75_FL0p7,Stationary,linear,4,20,75,2.7711822986602783,0.8686771392822266,15.59650421142578,3.9226904275130106,0.7614567995071411
mband_mel_N8_F20_O75_FL0p8,Stationary,mel,8,20,75,2.7926766872406006,0.8642123341560364,15.519824028015137,4.019530364978091,0.7613738358020783
mband_linear_N8_F20_O75_FL0p8,Stationary,linear,8,20,75,2.7925901412963867,0.864173948764801,15.520118713378906,4.021418461044223,0.7613459885120392
mband_log_N4_F8_O75_FL0p8,Stationary,log,4,8,75,2.776893138885498,0.8635798096656799,15.540647506713867,3.8909211186982335,0.7594792187213898
mband_log_N8_F8_O75_FL0p3,Stationary,log,8,8,75,2.8343334197998047,0.8490894436836243,15.405742645263672,3.852511203612504,0.7579780638217926
mband_log_N4_F20_O75_FL0p7,Stationary,log,4,20,75,2.78259825706482,0.8591083288192749,15.843576431274414,4.105134245354129,0.7578139901161194
